id,key,value,type
445679163,name,Rua Coronel João de Oliveira,regular
445679163,oneway,yes,regular
445679163,highway,tertiary,regular
445687452,name,Rua Paraíso,regular
445687452,highway,residential,regular
445687453,name,Rua José,regular
445687453,highway,residential,regular
445687454,oneway,yes,regular
445687454,highway,residential,regular
445687863,name,Rua Santa Luzia,regular
445687863,highway,residential,regular
445688999,name,Avenida Jornalista Tomaz Coelho,regular
445688999,lanes,3,regular
445688999,oneway,yes,regular
445688999,highway,primary,regular
445688999,maxspeed,60,regular
445689005,highway,primary,regular
445689005,lanes,3,regular
445689005,maxspeed,60,regular
445689005,name,Avenida Presidente Costa e Silva (Perimetral),regular
445689005,oneway,yes,regular
445689016,name,Rua Tenente Jurandir Alencar,regular
445689016,oneway,yes,regular
445689016,highway,residential,regular
445705465,name,Posto Eco,regular
445705465,amenity,fuel,regular
445707160,name,Supermercado Cometa,regular
445707160,shop,supermarket,regular
445707160,building,yes,regular
445707160,city,Fortaleza,addr
445707160,street,Travessa Virgílio Távora,addr
445707160,suburb,Meireles,addr
445707160,housenumber,40,addr
445838146,highway,footway,regular
445838147,name,Vila José Teixeira,regular
445838147,highway,residential,regular
445990586,footway,crossing,regular
445990586,highway,footway,regular
445990586,crossing,traffic_signals,regular
445990587,footway,crossing,regular
445990587,highway,footway,regular
445990587,crossing,traffic_signals,regular
446064445,name,Rua Santa Cecília,regular
446064445,highway,residential,regular
446064449,name,Avenida Major Assis,regular
446064449,oneway,yes,regular
446064449,highway,tertiary,regular
446074967,name,Rua José Cândido,regular
446074967,oneway,yes,regular
446074967,highway,secondary,regular
446074967,right,lane,cycleway
446077764,name,Rua Granja Castelo,regular
446077764,oneway,yes,regular
446077764,highway,residential,regular
446081694,highway,tertiary_link,regular
446081695,highway,tertiary_link,regular
446081696,name,Avenida Engenheiro Agrônomo José Guimarães Duque,regular
446081696,oneway,yes,regular
446081696,highway,tertiary,regular
446081698,name,Avenida Engenheiro Agrônomo José Guimarães Duque,regular
446081698,oneway,no,regular
446081698,highway,tertiary,regular
446082538,highway,cycleway,regular
446083117,name,Rua São Januário,regular
446083117,oneway,no,regular
446083117,highway,unclassified,regular
446084681,highway,service,regular
446085730,highway,residential,regular
446146873,name,Rua Coronel Nunes de Melo,regular
446146873,highway,residential,regular
446193938,name,Rua 31 de Dezembro,regular
446193938,highway,residential,regular
446197147,name,Rua Maria Formosa,regular
446197147,highway,residential,regular
446197148,name,Rua Estrada do Siqueira,regular
446197148,highway,residential,regular
446197149,name,Rua 102,regular
446197149,highway,residential,regular
446197150,name,Rua Doutor Estênio Gomes,regular
446197150,highway,residential,regular
446365684,leisure,park,regular
446365685,name,Travessa Muriae,regular
446365685,highway,residential,regular
446365686,name,Avenida Pasteur,regular
446365686,oneway,no,regular
446365686,highway,residential,regular
446369241,name,Rua Euzébio de Queirós,regular
446369241,oneway,yes,regular
446369241,highway,residential,regular
446369242,name,Rua Euzébio de Queirós,regular
446369242,oneway,yes,regular
446369242,highway,residential,regular
446369243,name,Rua Parque Ipiranga,regular
446369243,footway,sidewalk,regular
446369243,highway,footway,regular
446372155,name,Avenida João Pessoa,regular
446372155,oneway,no,regular
446372155,highway,secondary,regular
446372156,name,Rua Vasco da Gama,regular
446372156,highway,residential,regular
446372156,surface,unpaved,regular
446372157,highway,footway,regular
446409163,name,Avenida Airton Senna,regular
446409163,oneway,yes,regular
446409163,highway,primary,regular
446409164,name,Avenida São Vicente de Paula,regular
446409164,oneway,yes,regular
446409164,highway,primary,regular
446409170,name,Rua da Oiticicas,regular
446409170,highway,residential,regular
446409171,name,Rua 129,regular
446409171,highway,residential,regular
446409174,source,Bing,regular
446409174,highway,residential,regular
446409175,name,Rua 303,regular
446409175,source,Bing,regular
446409175,highway,residential,regular
446409176,highway,residential,regular
446409177,name,Rua 135,regular
446409177,source,Bing,regular
446409177,highway,residential,regular
446409178,name,Rua 131,regular
446409178,source,Bing,regular
446409178,highway,residential,regular
446409179,name,Rua 111,regular
446409179,source,Bing,regular
446409179,highway,residential,regular
446409180,name,Rua 129,regular
446409180,source,Bing,regular
446409180,highway,residential,regular
446409181,source,Bing,regular
446409181,highway,residential,regular
446409182,name,Rua I,regular
446409182,source,Bing,regular
446409182,highway,residential,regular
446412559,name,Rua Francisco Santiago,regular
446412559,highway,residential,regular
446412560,name,Rua Maria do Carmo,regular
446412560,highway,residential,regular
446412561,name,Rua Campos Sales,regular
446412561,highway,residential,regular
446412562,name,Rua Cordeiro de Miranda,regular
446412562,lanes,2,regular
446412562,access,permissive,regular
446412562,highway,tertiary,regular
446412563,name,Rua Leandro Bezerra,regular
446412563,lanes,2,regular
446412563,highway,residential,regular
446412563,surface,asphalt,regular
446513502,name,Avenida Paulo Afonso,regular
446513502,highway,residential,regular
446513503,highway,residential,regular
446513504,name,Rua Manoel Santos Oliveira,regular
446513504,highway,residential,regular
446513505,name,Rua 1 de Abril,regular
446513505,highway,residential,regular
446513506,highway,residential,regular
446513507,name,Rua Francisco Chagas Fernandes,regular
446513507,highway,residential,regular
446513508,name,Rua Paulo C Teles,regular
446513508,highway,residential,regular
446513509,name,Rua Santo Antônio,regular
446513509,highway,residential,regular
446513510,name,Travessa Ipu,regular
446513510,highway,residential,regular
446513511,name,Rua 2,regular
446513511,highway,residential,regular
446513512,name,Rua São Paulo,regular
446513512,highway,residential,regular
446513513,highway,residential,regular
446513513,name,Rua Santa Luzia,regular
446513514,highway,residential,regular
446513514,name,Rua Carvalho Nogueira,regular
446513515,name,Rua 7,regular
446513515,highway,residential,regular
446513516,name,Rua 8,regular
446513516,highway,residential,regular
446513517,name,Rua 9,regular
446513517,highway,residential,regular
446513518,highway,residential,regular
446513518,name,Rua Santa Lúcia,regular
446513519,name,Rua João Lopes,regular
446513519,highway,residential,regular
446513520,name,Rua Santa Luzia,regular
446513520,highway,residential,regular
446513521,name,Rua Vila Nova,regular
446513521,highway,residential,regular
446513522,highway,residential,regular
446513522,name,Rua José Tomás,regular
446513523,name,Rua 17,regular
446513523,highway,residential,regular
446513524,name,Travessa 3,regular
446513524,highway,residential,regular
446520067,name,Alameda Chapada do Araripe,regular
446520067,highway,residential,regular
446520068,highway,residential,regular
446520069,name,Rua Jaguaribe,regular
446520069,highway,residential,regular
446564658,name,Avenida Carneiro de Mendonça,regular
446564658,oneway,no,regular
446564658,highway,tertiary,regular
446564659,name,Avenida Carneiro de Mendonça,regular
446564659,oneway,yes,regular
446564659,highway,tertiary,regular
446564660,name,Avenida Carneiro de Mendonça,regular
446564660,oneway,yes,regular
446564660,highway,tertiary,regular
446564660,left,lane,cycleway
446564660,bicycle,no,oneway
446568313,name,Rua Amadeu Furtado,regular
446568313,oneway,no,regular
446568313,highway,service,regular
446568313,service,alley,regular
446568314,name,Rua Amadeu Furtado,regular
446568314,oneway,no,regular
446568314,highway,residential,regular
446568315,name,Rua Xavier de Oliveira,regular
446568315,oneway,yes,regular
446568315,highway,tertiary,regular
446568316,name,Avenida Gonçalves Dias,regular
446568316,oneway,yes,regular
446568316,highway,residential,regular
446568317,name,Avenida Gonçalves Dias,regular
446568317,highway,residential,regular
446660714,name,Rua Doutor Manuel Teófilo,regular
446660714,oneway,yes,regular
446660714,highway,residential,regular
446661407,name,Rua Dom Pedro II,regular
446661407,highway,residential,regular
446661408,name,Rua Napoleão Quezado,regular
446661408,oneway,no,regular
446661408,highway,residential,regular
446663730,highway,tertiary,regular
446663730,name,Avenida Cônego de Castro,regular
446663730,oneway,yes,regular
446670359,name,Avenida Oscar Araripe,regular
446670359,oneway,no,regular
446670359,highway,residential,regular
446670360,left,lane,cycleway
446670360,highway,secondary,regular
446670360,name,Rua Oscar França,regular
446670360,oneway,yes,regular
446683866,name,Rua Miguel Aragão,regular
446683866,highway,residential,regular
446686714,name,Avenida do Contorno Oeste,regular
446686714,oneway,yes,regular
446686714,highway,tertiary_link,regular
446686715,name,Avenida do Contorno Oeste,regular
446686715,oneway,yes,regular
446686715,highway,tertiary_link,regular
446686716,oneway,yes,regular
446686716,highway,tertiary_link,regular
446686717,name,Avenida do Contorno Oeste,regular
446686717,oneway,yes,regular
446686717,highway,tertiary_link,regular
446686718,highway,tertiary_link,regular
446686719,highway,tertiary_link,regular
446686720,oneway,yes,regular
446686720,highway,residential,regular
446686721,oneway,yes,regular
446686721,highway,residential,regular
446686722,name,Avenida do Contorno Sul,regular
446686722,highway,tertiary,regular
446690017,highway,secondary_link,regular
446690017,oneway,yes,regular
446690018,highway,secondary_link,regular
446690018,oneway,yes,regular
446690019,oneway,no,regular
446690019,highway,secondary_link,regular
446690020,highway,secondary_link,regular
446690020,oneway,yes,regular
446690021,highway,tertiary,regular
446690021,name,Avenida de Contorno,regular
446692604,name,Rua 109 B,regular
446692604,highway,residential,regular
446692605,highway,tertiary_link,regular
446692606,highway,tertiary_link,regular
446692607,name,Rua 106,regular
446692607,highway,residential,regular
446692608,name,Rua 104,regular
446692608,highway,residential,regular
446692609,bridge,yes,regular
446692609,highway,tertiary_link,regular
446692610,name,Rua 113 B,regular
446692610,highway,residential,regular
446692611,name,Rua 21,regular
446692611,highway,residential,regular
446692612,name,Rua 13,regular
446692612,highway,residential,regular
446693398,highway,tertiary,regular
446693398,name,Avenida Cônego de Castro,regular
446693398,oneway,yes,regular
446693399,name,Avenida Cônego de Castro,regular
446693399,highway,tertiary,regular
446693400,name,Rua B,regular
446693400,highway,residential,regular
446694318,leisure,park,regular
446694319,name,Avenida Central,regular
446694319,oneway,yes,regular
446694319,highway,tertiary,regular
446695144,bridge,yes,regular
446695144,highway,primary_link,regular
446695144,layer,1,regular
446695144,oneway,yes,regular
446695144,surface,asphalt,regular
446695145,highway,primary,regular
446695145,name,Rua Padre Cícero,regular
446695145,oneway,yes,regular
446716108,footway,sidewalk,regular
446716108,highway,footway,regular
446733616,highway,primary,regular
446733616,maxspeed,60,regular
446733616,name,Avenida Dom Manoel,regular
446733616,oneway,yes,regular
446733616,maxspeed,sign,source
446733616,surface,asphalt,regular
446737349,name,Avenida B,regular
446737349,oneway,yes,regular
446737349,highway,residential,regular
446737350,name,Avenida B,regular
446737350,oneway,yes,regular
446737350,highway,residential,regular
446740045,name,Rua do Leste,regular
446740045,highway,tertiary,regular
446814386,name,Avenida Gonçalves Dias,regular
446814386,oneway,yes,regular
446814386,highway,residential,regular
446814387,name,Avenida Gonçalves Dias,regular
446814387,oneway,no,regular
446814387,highway,residential,regular
446828218,name,Rua Quintino Bocaiuva,regular
446828218,highway,footway,regular
446829498,name,Rua 2,regular
446829498,highway,residential,regular
446829500,name,Rua 6,regular
446829500,highway,residential,regular
446835749,name,Rua Corvina,regular
446835749,highway,residential,regular
446835751,highway,footway,regular
446835753,name,Rua Jucá,regular
446835753,highway,footway,regular
446835755,name,Travessa Assaré,regular
446835755,highway,footway,regular
446842612,lit,no,regular
446842612,name,Passarela do Makro,regular
446842612,highway,footway,regular
446842612,surface,metal,regular
446842613,lit,no,regular
446842613,name,Passarela do Makro,regular
446842613,layer,1,regular
446842613,bridge,yes,regular
446842613,highway,footway,regular
446842613,surface,metal,regular
446842614,lit,no,regular
446842614,name,Passarela do Makro,regular
446842614,highway,footway,regular
446842614,surface,metal,regular
446886494,name,Avenida José Jatahy,regular
446886494,oneway,no,regular
446886494,highway,cycleway,regular
446886494,surface,paved,regular
446886495,bridge,yes,regular
446886495,highway,cycleway,regular
446886495,layer,1,regular
446886495,name,Viaduto Deputado Edson Queiroz Filho,regular
446886495,oneway,no,regular
446886495,surface,paved,regular
446886496,name,Avenida José Jatahy,regular
446886496,oneway,no,regular
446886496,highway,cycleway,regular
446886496,surface,paved,regular
446933430,landuse,military,regular
447019099,oneway,yes,regular
447019099,highway,primary_link,regular
447019100,name,Avenida Presidente Costa e Silva,regular
447019100,lanes,3,regular
447019100,oneway,yes,regular
447019100,highway,primary,regular
447019100,alt_name,Perimetral,regular
447019100,maxspeed,60,regular
447027740,left,lane,cycleway
447027740,highway,residential,regular
447027740,name,Rua Maria Júlia Rocha,regular
447027740,oneway,yes,regular
447027740,bicycle,no,oneway
447027741,highway,residential,regular
447027741,name,Rua Maria Júlia Rocha,regular
447027741,oneway,yes,regular
447027742,name,Rua Maria Júlia Rocha,regular
447027742,oneway,no,regular
447027742,highway,residential,regular
447027744,name,Rua Raimundo Pinheiro,regular
447027744,oneway,no,regular
447027744,highway,residential,regular
447027746,highway,residential,regular
447027746,name,Rua Raimundo Pinheiro,regular
447027746,oneway,yes,regular
447031926,name,Rua Wenefrido Melo,regular
447031926,oneway,yes,regular
447031926,highway,residential,regular
447031927,name,Rua Wenefrido Melo,regular
447031927,oneway,yes,regular
447031927,highway,residential,regular
447031928,name,Rua Wenefrido Melo,regular
447031928,highway,residential,regular
447035398,name,Rua Dom Xisto Albano,regular
447035398,highway,residential,regular
447035399,name,Rua Dom Xisto Albano,regular
447035399,highway,residential,regular
447035400,name,Rua Bernardino de Campos,regular
447035400,highway,residential,regular
447039549,name,Rua Nereu Ramos,regular
447039549,highway,secondary,regular
447039549,surface,asphalt,regular
447039550,name,Avenida General Osório de Paiva,regular
447039550,lanes,3,regular
447039550,oneway,yes,regular
447039550,highway,primary,regular
447039550,alt_name,Osório de Paiva,regular
447039551,name,Rua Nereu Ramos,regular
447039551,highway,residential,regular
447039552,highway,residential,regular
447050589,highway,secondary,regular
447050589,lanes,2,regular
447050589,maxspeed,60,regular
447050589,name,Avenida Frei Cirilo,regular
447050589,oneway,yes,regular
447050589,surface,asphalt,regular
447050590,name,Rua Bady Miguel,regular
447050590,highway,residential,regular
447050591,left,lane,cycleway
447050591,highway,secondary,regular
447050591,lanes,2,regular
447050591,maxspeed,60,regular
447050591,name,Avenida Frei Cirilo,regular
447050591,oneway,yes,regular
447050591,surface,asphalt,regular
447050592,name,Avenida Frei Cirilo,regular
447050592,lanes,2,regular
447050592,oneway,yes,regular
447050592,highway,secondary,regular
447050592,surface,asphalt,regular
447050592,maxspeed,60,regular
447050593,name,Rua Coronel Dionísio Alencar,regular
447050593,oneway,yes,regular
447050593,highway,residential,regular
447050594,name,Rua Cesário Lange,regular
447050594,oneway,yes,regular
447050594,highway,residential,regular
447050595,highway,secondary_link,regular
447050596,highway,secondary,regular
